Table,Description_table,Field,Description,Data Type,Length,Column,Date
F41171,Item Branch Master - Service/Warranty Extension,PBUPMT,Time - Last Updated,Numeric,6,16,2025-07-15 09:36:08.224336
F41171,Item Branch Master - Service/Warranty Extension,PBRTRND,Returnable Flag,Character,1,17,2025-07-15 09:36:08.224336
F41171,Item Branch Master - Service/Warranty Extension,PBRPRBL,Repairable Flag,Character,1,18,2025-07-15 09:36:08.224336
F41171,Item Branch Master - Service/Warranty Extension,PBCCOST,S/WM Cost Component,String,3,19,2025-07-15 09:36:08.224336
F41171,Item Branch Master - Service/Warranty Extension,PBRETPOL,Return Policy,Character,1,20,2025-07-15 09:36:08.224336
F41171,Item Branch Master - Service/Warranty Extension,PBSRYN,Eligible Supplier Recovery,Character,1,21,2025-07-15 09:36:08.224336
F41171,Item Branch Master - Service/Warranty Extension,PBIBYN,Create Equipment Master,Character,1,22,2025-07-15 09:36:08.224336
F41171,Item Branch Master - Service/Warranty Extension,PBVMRS33,Component Code - Part,String,10,23,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDKCOO,Order Company (Order Number),String,5,1,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDOCO,Document (Order No  Invoice  etc.),Numeric,8,2,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDCTO,Order Type,String,2,3,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDLNID,Line Number,Numeric,6,4,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSFXO,Order Suffix,String,3,5,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDMCU,Business Unit,String,12,6,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCO,Company,String,5,7,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDOKCO,Document Company (Original Order),String,5,8,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDOORN,Original Order Number,String,8,9,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDOCTO,Original Order Type,String,2,10,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDOGNO,Original Line Number,Numeric,7,11,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRKCO,Company - Key (Related Order),String,5,12,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRORN,Related PO/SO/WO Number,String,8,13,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRCTO,Related PO/SO/WO Order Type,String,2,14,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRLLN,Related PO/SO Line Number,Numeric,7,15,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDMCT,Agreement Number - Distribution,String,12,16,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDMCS,Agreement Supplement - Distribution,Numeric,3,17,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDAN8,Address Number,Numeric,8,18,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSHAN,Address Number - Ship To,Numeric,8,19,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPA8,Address Number - Parent,Numeric,8,20,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDRQJ,Date - Requested,Date,6,21,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDTRDJ,Date - Order/Transaction,Date,6,22,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPDDJ,Date - Scheduled Pick,Date,6,23,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDADDJ,Date - Actual Ship Date,Date,6,24,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDIVD,Date - Invoice,Date,6,25,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCNDJ,Date - Cancel,Date,6,26,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDGL,Date - For G/L (and Voucher),Date,6,27,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRSDJ,Date - Promised Delivery,Date,6,28,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPEFJ,Date - Price Effective Date,Date,6,29,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPPDJ,Date - Promised Shipment,Date,6,30,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDVR01,Reference,String,25,31,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDVR02,Reference 2,String,25,32,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDITM,Item Number - Short,Numeric,8,33,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDLITM,2nd Item Number,String,25,34,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDAITM,3rd Item Number,String,25,35,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDLOCN,Location,String,20,36,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDLOTN,Lot/Serial Number,String,30,37,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDFRGD,From Grade,String,3,38,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDTHGD,Thru Grade,String,3,39,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDFRMP,From Potency,Numeric,7,40,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDTHRP,Thru Potency,Numeric,7,41,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDEXDP,Days Before Expiration,Numeric,5,42,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDSC1,Description,String,30,43,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDSC2,Description - Line 2,String,30,44,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDLNTY,Line Type,String,2,45,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDNXTR,Status Code - Next,String,3,46,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDLTTR,Status Code - Last,String,3,47,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDEMCU,Business Unit - Header,String,12,48,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRLIT,Item Number - Related (Kit),String,8,49,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDKTLN,Kit Master Line Number,Numeric,6,50,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCPNT,Component Line Number,Numeric,4,51,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRKIT,Related Kit Component,Numeric,8,52,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDKTP,Number of Component Per Parent,Numeric,15,53,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSRP1,Sales Catalog Section,String,3,54,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSRP2,Sub Section,String,3,55,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSRP3,Sales Category Code 3,String,3,56,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSRP4,Sales Category Code 4,String,3,57,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSRP5,Sales Category Code 5,String,3,58,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPRP1,Commodity Class,String,3,59,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPRP2,Commodity Sub Class,String,3,60,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPRP3,Supplier Rebate Code,String,3,61,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPRP4,Master Planning Family,String,3,62,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPRP5,Purchasing Category Code 5,String,3,63,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDUOM,Unit of Measure as Input,String,2,64,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDUORG,Units - Order/Transaction Quantity,Numeric,15,65,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSOQS,Quantity Shipped,Numeric,15,66,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSOBK,Units - Qty Backordered/Held,Numeric,15,67,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSOCN,Units - Quantity Canceled/Scrapped,Numeric,15,68,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSONE,Units - Future Quantity Committed,Numeric,15,69,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDUOPN,Units - Open,Numeric,15,70,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDQTYT,Units - Shipped to Date,Numeric,15,71,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDQRLV,Units - Relieved,Numeric,15,72,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCOMM,Committed (H/S),Character,1,73,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDOTQY,Other Quantity (1/2),Character,1,74,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDUPRC,Amount - Price per Unit,Numeric,15,75,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDAEXP,Amount - Extended Price,Numeric,15,76,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDAOPN,Amount - Open,Numeric,15,77,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPROV,Price Override Code,Character,1,78,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDTPC,Temporary Price (Y/N),Character,1,79,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDAPUM,Unit of Measure - Entered for Unit Price,String,2,80,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDLPRC,Amount - List Price,Numeric,15,81,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDUNCS,Amount - Unit Cost,Numeric,15,82,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDECST,Amount - Extended Cost,Numeric,15,83,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCSTO,Cost Override Code,Character,1,84,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDTCST,Extended Cost - Transfer,Numeric,15,85,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDINMG,Print Message,String,10,86,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPTC,Payment Terms Code,String,3,87,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRYIN,Payment Instrument,Character,1,88,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDTBS,Based on Date,Character,1,89,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDTRDC,Discount - Trade,Numeric,7,90,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDFUN2,Trade Discount (Old),Numeric,15,91,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDASN,Price and Adjustment Schedule,String,8,92,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPRGR,Item Price Group,String,8,93,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCLVL,Pricing Category Level,String,3,94,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCADC,Discount % - Cash,Numeric,7,95,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDKCO,Document Company,String,5,96,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDOC,Document (Voucher  Invoice  etc.),Numeric,8,97,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDCT,Document Type,String,2,98,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDODOC,Document - Original,Numeric,8,99,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDODCT,Document Type - Original,String,2,100,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDOKC,Document Company - Original,String,5,101,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPSN,Pick Slip Number,Numeric,8,102,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDELN,Delivery Number,Numeric,8,103,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDTAX1,Sales Taxable (Y/N),Character,1,104,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDTXA1,Tax Rate/Area,String,10,105,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDEXR1,Tax Expl Code 1,String,2,106,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDATXT,Associated Text,Character,1,107,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPRIO,Priority - Processing,Character,1,108,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRESL,Printed Code,Character,1,109,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDBACK,Backorders Allowed (Y/N),Character,1,110,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSBAL,Substitutes Allowed (Y/N),Character,1,111,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDAPTS,Partial Line Shipments Allowed (Y/N),Character,1,112,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDLOB,Line of Business,String,3,113,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDEUSE,End Use,String,3,114,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDTYS,Duty Status,String,2,115,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDNTR,Nature of Transaction,String,2,116,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDVEND,Primary / Last Supplier Number,Numeric,8,117,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCARS,Carrier Number,Numeric,8,118,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDMOT,Mode of Transport,String,3,119,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDROUT,Route Code,String,3,120,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSTOP,Stop Code,String,3,121,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDZON,Zone Number,String,3,122,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCNID,Container I.D.,String,20,123,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDFRTH,Freight Handling Code,String,3,124,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSHCM,Shipping Commodity Class,String,3,125,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSHCN,Shipping Conditions Code,String,3,126,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSERN,Serial Number - Lot,String,30,127,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDUOM1,Unit of Measure - Primary,String,2,128,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPQOR,Units - Primary Quantity Ordered,Numeric,15,129,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDUOM2,Unit of Measure - Secondary,String,2,130,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSQOR,Units - Secondary Quantity Ordered,Numeric,15,131,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDUOM4,Unit of Measure - Pricing,String,2,132,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDITWT,Unit Weight,Numeric,15,133,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDWTUM,Weight Unit of Measure,String,2,134,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDITVL,Unit Volume,Numeric,15,135,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDVLUM,Volume Unit of Measure,String,2,136,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRPRC,Reprice (Basket Price) Category,String,8,137,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDORPR,Order Reprice Category,String,8,138,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDORP,Order Repriced Indicator,Character,1,139,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCMGP,Costing Method - Inventory,String,2,140,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDGLC,G/L Offset,String,4,141,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCTRY,Century,Numeric,2,142,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDFY,Fiscal Year,Numeric,2,143,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO01,Inter Branch Sales,Character,1,144,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO02,On Hand Updated,Character,1,145,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO03,Configurator Print Flag,Character,1,146,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO04,Sales Order Status 04,Character,1,147,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO05,Substitute Item Indicator,Character,1,148,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO06,Preference Commitment Indicator,Character,1,149,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO07,Ship date (PDDJ) overridden,Character,1,150,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO08,Price Adjustment Line Indicator,Character,1,151,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO09,Price Adj. History Indicator,Character,1,152,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO10,Preference Production Allocation,Character,1,153,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO11,Transfer/Direct Ship/Intercompany Flag,Character,1,154,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO12,Deferred entries flag,Character,1,155,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO13,Euro Conversion Status Flag,Character,1,156,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO14,Sales Order Status 14,Character,1,157,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO15,Sales Order Status 15,Character,1,158,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDACOM,Apply Commission (Y/N),Character,1,159,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCMCG,Commission Category,String,8,160,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRCD,Reason Code,String,3,161,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDGRWT,Gross Weight,Numeric,15,162,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDGWUM,Gross Weight Unit of Measure,String,2,163,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSBL,Subledger - G/L,String,8,164,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSBLT,Subledger Type,Character,1,165,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDLCOD,Code - Location Tax Status,String,2,166,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDUPC1,Price Code 1,String,2,167,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDUPC2,Price Code 2,String,2,168,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDUPC3,Price Code 3,String,2,169,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSWMS,Status - In Warehouse,Character,1,170,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDUNCD,Work Order Freeze Code,Character,1,171,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCRMD,Send Method,Character,1,172,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCRCD,Currency Code - From,String,3,173,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCRR,Currency Conversion Rate - Spot Rate,Numeric,15,174,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDFPRC,Amount - List Price per Unit,Numeric,15,175,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDFUP,Amount - Foreign Price per Unit,Numeric,15,176,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDFEA,Amount - Foreign Extended Price,Numeric,15,177,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDFUC,Amount - Foreign Unit Cost,Numeric,15,178,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDFEC,Amount - Foreign Extended Cost,Numeric,15,179,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDURCD,User Reserved Code,String,2,180,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDURDT,User Reserved Date,Date,6,181,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDURAT,User Reserved Amount,Numeric,15,182,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDURAB,User Reserved Number,Numeric,8,183,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDURRF,User Reserved Reference,String,15,184,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDTORG,Transaction Originator,String,10,185,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDUSER,User ID,String,10,186,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPID,Program ID,String,10,187,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDJOBN,Work Station ID,String,10,188,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDUPMJ,Date - Updated,Date,6,189,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDTDAY,Time of Day,Numeric,6,190,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO16,Manufacturing Variance Accounting Flag,Character,1,191,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO17,Sales Order Status 17,Character,1,192,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO18,Sales Order Status 18,Character,1,193,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO19,Sales Order Status 19,Character,1,194,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSO20,Sales Order Status 20,Character,1,195,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDIR01,Integration Reference 01,String,30,196,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDIR02,Integration Reference 02,String,30,197,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDIR03,Integration Reference 03,String,30,198,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDIR04,Integration Reference 04,String,30,199,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDIR05,Integration Reference 05,String,30,200,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSOOR,Source of Order,Integer,11,201,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDVR03,Reference,String,25,202,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDEID,Demand Unique Key ID,Numeric,15,203,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPSIG,Pull Signal,String,30,204,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRLNU,Release Number,String,10,205,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPMDT,Scheduled Shipment Time,Numeric,6,206,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRLTM,Time - Release,Numeric,6,207,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRLDJ,Date - Release,Date,6,208,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDRQT,Requested Delivery Time,Numeric,6,209,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDADTM,Actual Shipment Time,Numeric,6,210,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDOPTT,Time - Original Promised Delivery,Numeric,6,211,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPDTT,Time - Scheduled Pick,Numeric,6,212,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPSTM,Time - Future Time 2,Numeric,6,213,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDXDCK,Cross-Docking Flag,Character,1,214,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDXPTY,Cross Docking Priority for Sales Orders,Numeric,15,215,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDUAL,Dual Unit  Of Measure Item,Character,1,216,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDBSC,Buying Segment Code,String,10,217,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCBSC,Current Buying Segment Code,String,10,218,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCORD,Change Order Number,Numeric,3,219,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDVAN,Address Number - Deliver To,Numeric,8,220,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPEND,Pending Approval Flag,Character,1,221,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRFRV,Revision Reason,String,3,222,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDMCLN,Matrix Control Line Number,Numeric,6,223,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSHPN,Shipment Number,Numeric,8,224,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDRSDT,Promised Delivery Time,Numeric,6,225,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPRJM,Project Number,Numeric,8,226,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDOSEQ,Sequence Number,Numeric,4,227,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDMERL,Item Revision Level,String,3,228,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDHOLD,Hold Orders Code,String,2,229,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDHDBU,Business Unit - Header,String,12,230,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDDMBU,Business Unit - Demand,String,12,231,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDBCRC,Currency Code - Base,String,3,232,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDODLN,Document Line Number - Original,Numeric,7,233,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDOPDJ,Date - Original Promised Delivery,Date,6,234,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDXKCO,Cross Dock Order Company (Order Number),String,5,235,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDXORN,Cross Dock Order No,Numeric,8,236,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDXCTO,Cross Dock Order Type,String,2,237,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDXLLN,Cross Dock Line Number,Numeric,6,238,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDXSFX,Cross Dock Order Suffix,String,3,239,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPOE,Port of Entry or Exit,String,6,240,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPMTO,Payment Terms Override Code,Character,1,241,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDANBY,Buyer Number,Numeric,8,242,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPMTN,Promotion ID,String,12,243,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDNUMB,Asset Item Number,Numeric,8,244,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDAAID,Parent Number,Numeric,8,245,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSPATTN,Ship To Attention,String,50,246,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPRAN8,Partner Address Number,Numeric,8,247,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDPRCIDLN,Partner Contact Line Number ID,Numeric,5,248,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDCCIDLN,Customer Contact Line Number ID,Numeric,5,249,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDSHCCIDLN,Ship To Cust Contact Line Num ID,Numeric,5,250,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDOPPID,Opportunity Number,Numeric,15,251,2025-07-15 09:36:08.224336
F4211,Sales Order Detail File,SDOSTP,Organization Structure Type,String,3,252,2025-07-15 09:36:08.224336
